area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,lq_disclosure_code,oty_disclosure_code,variable,value
39049,5,31191,77,0.0,2020,1,0,0,0,qtrly_estabs,4.0
39049,5,311911,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,311919,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,31192,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,311920,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,31193,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,311930,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,31194,77,0.0,2020,1,N,N,N,qtrly_estabs,4.0
39049,5,311941,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,311942,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,31199,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,311991,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,311999,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,312,75,0.0,2020,1,0,0,0,qtrly_estabs,48.0
39049,5,3121,76,0.0,2020,1,0,0,0,qtrly_estabs,48.0
39049,5,31211,77,0.0,2020,1,0,0,0,qtrly_estabs,11.0
39049,5,312111,78,0.0,2020,1,0,0,0,qtrly_estabs,8.0
39049,5,312112,78,0.0,2020,1,0,0,0,qtrly_estabs,3.0
39049,5,31212,77,0.0,2020,1,0,0,0,qtrly_estabs,26.0
39049,5,312120,78,0.0,2020,1,0,0,0,qtrly_estabs,26.0
39049,5,31213,77,0.0,2020,1,0,0,0,qtrly_estabs,5.0
39049,5,312130,78,0.0,2020,1,0,0,0,qtrly_estabs,5.0
39049,5,31214,77,0.0,2020,1,0,0,0,qtrly_estabs,6.0
39049,5,312140,78,0.0,2020,1,0,0,0,qtrly_estabs,6.0
39049,5,313,75,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,3133,76,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,31331,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,313310,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,314,75,0.0,2020,1,0,0,0,qtrly_estabs,18.0
39049,5,3141,76,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,31412,77,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,314120,78,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,3149,76,0.0,2020,1,N,N,N,qtrly_estabs,15.0
39049,5,31491,77,0.0,2020,1,N,N,N,qtrly_estabs,5.0
39049,5,314910,78,0.0,2020,1,N,N,N,qtrly_estabs,5.0
39049,5,31499,77,0.0,2020,1,0,0,N,qtrly_estabs,10.0
39049,5,314994,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,314999,78,0.0,2020,1,N,N,N,qtrly_estabs,9.0
39049,5,315,75,0.0,2020,1,0,0,0,qtrly_estabs,6.0
39049,5,3151,76,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,31511,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,315110,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,3152,76,0.0,2020,1,N,N,N,qtrly_estabs,5.0
39049,5,31521,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,315210,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,31522,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,315220,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,31524,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,315240,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,316,75,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,3169,76,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,31699,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,316998,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,321,75,0.0,2020,1,0,0,0,qtrly_estabs,30.0
39049,5,3211,76,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,32111,77,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,321113,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,321114,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,3212,76,0.0,2020,1,N,N,N,qtrly_estabs,5.0
39049,5,32121,77,0.0,2020,1,N,N,N,qtrly_estabs,5.0
39049,5,321211,78,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,321214,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,3219,76,0.0,2020,1,0,0,0,qtrly_estabs,22.0
39049,5,32191,77,0.0,2020,1,0,0,N,qtrly_estabs,3.0
39049,5,321918,78,0.0,2020,1,0,0,N,qtrly_estabs,3.0
39049,5,32192,77,0.0,2020,1,0,0,0,qtrly_estabs,13.0
39049,5,321920,78,0.0,2020,1,0,0,0,qtrly_estabs,13.0
39049,5,32199,77,0.0,2020,1,0,0,N,qtrly_estabs,6.0
39049,5,321992,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,321999,78,0.0,2020,1,N,N,N,qtrly_estabs,4.0
39049,5,322,75,0.0,2020,1,0,0,0,qtrly_estabs,17.0
39049,5,3222,76,0.0,2020,1,0,0,0,qtrly_estabs,17.0
39049,5,32221,77,0.0,2020,1,0,0,0,qtrly_estabs,6.0
39049,5,322211,78,0.0,2020,1,N,N,N,qtrly_estabs,5.0
39049,5,322212,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32222,77,0.0,2020,1,N,N,N,qtrly_estabs,8.0
39049,5,322220,78,0.0,2020,1,N,N,N,qtrly_estabs,8.0
39049,5,32229,77,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,322299,78,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,323,75,0.0,2020,1,0,0,0,qtrly_estabs,126.0
39049,5,3231,76,0.0,2020,1,0,0,0,qtrly_estabs,126.0
39049,5,32311,77,0.0,2020,1,0,0,0,qtrly_estabs,120.0
39049,5,323111,78,0.0,2020,1,0,0,0,qtrly_estabs,82.0
39049,5,323113,78,0.0,2020,1,N,N,N,qtrly_estabs,35.0
39049,5,323117,78,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,32312,77,0.0,2020,1,0,0,0,qtrly_estabs,6.0
